0; 28378; 29126; 37231; 29395; 30108; 35411; 20726; 29203; 28757; 28867; 25337; 30475; 27699; 29315; 26950; 28044; 31965; 35443; 24647; 28608; 
100; 28331; 28283; 38356; 29808; 30074; 33147; 21225; 30252; 28701; 29263; 25345; 29803; 29491; 29950; 27976; 28388; 31704; 37045; 25703; 29397; 
200; 30571; 29267; 37870; 29924; 29541; 35042; 22865; 30728; 28852; 29170; 25560; 28916; 28454; 29472; 26307; 28353; 32579; 34279; 25829; 29836; 
300; 30007; 29154; 37334; 31112; 30530; 33992; 23124; 30212; 29949; 28582; 27111; 28560; 29338; 30905; 27793; 29272; 32252; 34645; 27194; 29414; 
400; 29595; 30874; 37963; 30676; 30415; 35499; 23581; 30317; 29703; 29580; 26501; 31062; 28945; 31768; 27388; 29398; 32747; 36526; 26439; 31890; 
500; 32636; 29921; 39037; 30917; 31033; 34350; 21810; 32328; 31770; 30664; 27859; 28864; 29270; 30868; 27595; 29935; 33310; 35391; 27466; 29065; 
600; 31473; 29876; 38838; 31586; 31415; 38153; 23623; 31414; 31219; 30521; 27751; 30330; 28414; 31496; 28155; 31486; 34496; 35114; 27374; 30848; 
700; 30196; 31496; 40386; 30543; 32363; 35945; 23450; 31052; 30269; 31135; 27763; 30138; 31084; 32066; 28342; 32070; 34727; 37772; 27523; 30063; 
800; 32640; 30992; 39778; 32159; 32443; 38438; 25271; 33510; 32407; 30439; 27545; 32414; 30694; 31271; 27814; 30629; 34574; 35794; 27165; 30336; 
900; 30806; 32063; 41240; 31799; 33177; 37923; 23917; 34265; 31556; 30371; 28118; 31748; 30008; 32386; 28182; 32596; 34726; 36224; 28310; 30282; 
1000; 35002; 32770; 41199; 32516; 31450; 38590; 23497; 33698; 31864; 31564; 27401; 31642; 31899; 33591; 28711; 32642; 35005; 37866; 28176; 32530; 
