0.0; 46744; 47782; 56490; 46755; 48649; 52791; 35738; 49664; 45283; 43448; 39568; 45852; 42458; 44413; 41019; 46039; 50383; 53212; 41001; 43924; 
0.1; 29634; 30140; 38656; 30109; 30974; 35921; 22281; 31564; 29751; 29173; 27292; 28419; 29145; 30047; 27638; 31924; 33357; 35486; 27832; 29332; 
0.2; 30682; 28849; 37643; 30705; 29576; 33826; 21338; 30689; 30953; 30079; 26256; 28321; 28810; 29736; 27055; 30489; 31988; 34638; 27308; 28042; 
0.3; 29698; 29242; 38551; 30632; 30206; 33609; 21720; 30242; 29309; 29284; 25878; 28742; 28104; 29599; 26881; 29654; 30618; 34193; 26019; 30116; 
0.4; 30904; 29999; 37865; 30257; 30468; 34197; 23555; 31344; 28934; 28692; 26235; 28991; 28961; 29951; 26818; 29662; 32757; 33430; 26548; 30695; 
0.5; 27909; 29480; 37497; 29273; 30669; 34025; 21175; 31664; 30191; 29033; 25967; 29403; 28919; 29116; 27490; 28972; 31029; 34004; 26070; 29706; 
0.6; 27901; 29810; 37601; 30656; 29412; 34683; 23011; 31463; 29122; 29033; 26122; 27874; 29803; 29363; 27003; 28645; 29749; 32484; 26012; 29396; 
0.7; 28678; 29470; 37289; 29332; 30663; 34282; 21508; 29622; 28889; 28152; 25696; 28733; 27718; 29972; 27523; 29877; 31362; 35459; 25863; 28136; 
0.8; 30542; 28994; 37822; 28630; 30074; 34656; 23770; 30982; 29227; 28364; 26002; 28728; 29107; 30171; 26586; 28716; 31570; 34681; 26824; 29178; 
0.9; 29621; 28908; 37212; 30359; 30153; 35489; 22515; 31570; 29154; 30205; 26120; 29318; 28650; 30983; 27138; 28323; 33084; 34516; 25052; 29353; 
1.0; 29570; 29546; 37594; 30748; 29770; 35662; 22633; 31173; 30242; 28729; 27366; 29788; 29237; 29717; 26708; 30885; 32688; 34635; 26036; 29524; 
1.1; 35975; 38832; 42581; 36341; 36233; 40379; 27682; 37038; 35017; 31956; 30187; 33281; 34219; 36693; 29835; 33164; 37958; 41185; 32100; 33978; 
1.2; 34074; 31873; 39948; 33315; 35426; 39046; 24668; 34732; 33053; 31761; 29270; 35277; 31202; 32446; 28872; 35393; 38158; 38167; 26621; 34400; 
1.3; 34833; 32811; 41464; 31577; 34989; 38313; 23562; 33049; 31824; 32795; 28017; 31283; 31304; 32860; 28269; 32129; 37071; 37589; 27814; 30909; 
1.4; 32167; 31660; 40254; 30986; 31826; 40134; 26766; 31663; 31280; 29306; 28319; 32167; 29156; 34231; 28228; 32637; 31741; 36494; 28151; 32419; 
1.5; 31782; 30841; 40555; 30946; 32446; 37362; 23841; 33012; 30677; 29777; 27798; 32407; 31680; 30991; 29231; 32085; 31972; 35543; 26388; 31179; 
