0; 27953; 28040; 36824; 29107; 29911; 34785; 22376; 29922; 29535; 27493; 25977; 28107; 27294; 29427; 26453; 28109; 32414; 33702; 25885; 29249; 
100; 29360; 30267; 37145; 28680; 31487; 33720; 21067; 29605; 29135; 28551; 26360; 29823; 27211; 28217; 26559; 29219; 31651; 33748; 27575; 28663; 
200; 27847; 29401; 37501; 30992; 30234; 35497; 21507; 32661; 30166; 28222; 26284; 28584; 27965; 30306; 26689; 28685; 30748; 34054; 26073; 29554; 
300; 30197; 29791; 39047; 31103; 29895; 36669; 22919; 31119; 29119; 30262; 27778; 28645; 28506; 30680; 27483; 30080; 31792; 35590; 26029; 30091; 
400; 29359; 29231; 38921; 29864; 30368; 36141; 22951; 32747; 31453; 29277; 27783; 30322; 29121; 30126; 28303; 29287; 31219; 35770; 26520; 30275; 
500; 28221; 31259; 39993; 30044; 31113; 37432; 22875; 29383; 30343; 29111; 26666; 30955; 29657; 30629; 28157; 30291; 33644; 35490; 26728; 30350; 
600; 29562; 29723; 40711; 30586; 30546; 35799; 24430; 32124; 29689; 29696; 28707; 28814; 29148; 31503; 27946; 29816; 32953; 34721; 26345; 29204; 
700; 30863; 31227; 38818; 31798; 31248; 36341; 23694; 32875; 32143; 30351; 27746; 30586; 29467; 31375; 28037; 31081; 34034; 37577; 27653; 30729; 
800; 30219; 31213; 40221; 33104; 32152; 37515; 23333; 33211; 30533; 30618; 28987; 31595; 30107; 32781; 28743; 31736; 34175; 36773; 27445; 30530; 
900; 31168; 33322; 38424; 31767; 32536; 37985; 22836; 32212; 32040; 31427; 27542; 30512; 29709; 32156; 29165; 32847; 33892; 36264; 27828; 30397; 
1000; 31421; 31819; 40259; 32441; 32654; 38758; 24429; 34344; 31959; 30230; 29979; 31641; 32138; 33355; 28580; 32611; 33508; 39483; 28104; 31094; 
