53574; 41663; 37198; 35926; 34339; 33364; 33022; 32566; 31781; 31639; 31162; 30912; 30590; 30298; 30149; 29924; 29329; 29103; 29001; 28780; 28673; 28511; 28435; 28309; 28252; 28173; 28106; 28009; 27963; 27917; 27842; 27819; 27802; 27770; 27735; 27715; 27699; 27666; 27644; 27635; 27633; 27627; 27626; 27626; 27626; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27622; 27602; 27602; 27602; 27602; 27602; 27602; 27602; 27592; 27592; 27592; 27592; 27592; 27592; 27592; 27592; 27592; 27592; 27592; 27592; 27592; 
56347; 42693; 38789; 37408; 36484; 35754; 34216; 33694; 32770; 32039; 31780; 31434; 31330; 31129; 30914; 30603; 30496; 30439; 30401; 30308; 29993; 29872; 29742; 29633; 29519; 29475; 29397; 29373; 29314; 29264; 29223; 29139; 29042; 29021; 28990; 28958; 28954; 28939; 28919; 28900; 28888; 28859; 28824; 28821; 28805; 28783; 28764; 28728; 28718; 28699; 28678; 28631; 28591; 28578; 28567; 28556; 28546; 28545; 28525; 28525; 28523; 28523; 28523; 28515; 28501; 28501; 28497; 28495; 28495; 28494; 28494; 28494; 28494; 28494; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 28486; 
65146; 51488; 47050; 45475; 44527; 43585; 42822; 41937; 41472; 40730; 40361; 40230; 39994; 39790; 39677; 39288; 39187; 38927; 38728; 38686; 38603; 38522; 38480; 38430; 38367; 38334; 38296; 38267; 38209; 38194; 38069; 37966; 37957; 37899; 37889; 37850; 37821; 37754; 37728; 37709; 37689; 37687; 37685; 37684; 37684; 37684; 37684; 37684; 37683; 37657; 37657; 37656; 37656; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37644; 37632; 37632; 37514; 37456; 37437; 37428; 37428; 37426; 37422; 37420; 37420; 37420; 37420; 37420; 37420; 37420; 37414; 37414; 37414; 37414; 37414; 37414; 37414; 37414; 37414; 37414; 37414; 37414; 37414; 37414; 37414; 37414; 37414; 37414; 37414; 37414; 37414; 37414; 37414; 37364; 37345; 37343; 37342; 37337; 37331; 37292; 37291; 37287; 37287; 37287; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 37286; 
54652; 44075; 39524; 36418; 35198; 34303; 33644; 32666; 32153; 31822; 31423; 31178; 31055; 30982; 30879; 30860; 30750; 30679; 30587; 30528; 30438; 30424; 30382; 30346; 30323; 30309; 30295; 30286; 30283; 30250; 30236; 30171; 30133; 30119; 30119; 30119; 30119; 30082; 30076; 29830; 29741; 29737; 29711; 29679; 29663; 29663; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29659; 29643; 29643; 29633; 29633; 29624; 29624; 29624; 29624; 29624; 29624; 29624; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29608; 29596; 29596; 29596; 29596; 29596; 29596; 29596; 29596; 29596; 29576; 29576; 29576; 29576; 29576; 29576; 29566; 29566; 29566; 29563; 29563; 29560; 29558; 29555; 29555; 29555; 29555; 29555; 29555; 29555; 29555; 29555; 29555; 29555; 29555; 29555; 29555; 29555; 29555; 29555; 29555; 29555; 29555; 29555; 29555; 29555; 29555; 29555; 29555; 29555; 29555; 29555; 29555; 29555; 29555; 29555; 29555; 29555; 29555; 29555; 29555; 29555; 
54937; 42949; 38544; 36686; 34429; 33945; 33515; 33216; 32662; 32454; 32254; 32209; 32124; 31982; 31936; 31909; 31853; 31819; 31761; 31730; 31693; 31369; 31321; 31316; 31307; 31303; 31123; 31096; 31079; 31063; 31052; 30983; 30929; 30905; 30773; 30740; 30697; 30696; 30683; 30682; 30616; 30573; 30572; 30572; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 30542; 
57444; 44423; 42739; 41931; 40647; 38741; 38099; 37387; 37095; 36717; 36385; 36070; 35872; 35731; 35539; 35445; 35242; 35143; 35056; 34968; 34912; 34855; 34776; 34744; 34718; 34671; 34652; 34603; 34483; 34439; 34424; 34392; 34309; 34286; 34183; 34111; 34001; 33997; 33905; 33840; 33803; 33768; 33759; 33740; 33734; 33731; 33705; 33692; 33682; 33659; 33656; 33602; 33588; 33570; 33566; 33559; 33547; 33546; 33543; 33543; 33543; 33543; 33543; 33517; 33517; 33516; 33516; 33516; 33516; 33516; 33516; 33516; 33514; 33514; 33514; 33514; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33503; 33479; 33479; 33479; 33479; 33479; 33479; 33479; 33479; 33479; 33479; 33479; 33479; 33479; 33479; 33479; 33479; 33479; 33479; 33479; 33479; 33479; 33479; 33479; 33479; 33479; 33479; 33479; 33479; 33479; 33479; 33479; 33479; 33479; 33479; 33479; 33479; 33479; 33479; 33479; 33469; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 33457; 
44361; 27022; 25562; 24450; 23622; 22626; 22319; 22013; 21775; 21662; 21565; 21460; 21389; 21298; 21232; 21187; 21111; 21079; 21001; 20940; 20911; 20890; 20856; 20822; 20811; 20774; 20763; 20746; 20726; 20703; 20675; 20664; 20664; 20655; 20646; 20637; 20595; 20563; 20509; 20461; 20443; 20433; 20432; 20426; 20422; 20422; 20422; 20422; 20422; 20422; 20422; 20422; 20421; 20421; 20421; 20421; 20421; 20421; 20421; 20421; 20421; 20421; 20421; 20421; 20421; 20421; 20421; 20421; 20421; 20421; 20421; 20421; 20421; 20421; 20421; 20421; 20421; 20421; 20421; 20421; 20421; 20421; 20421; 20421; 20421; 20421; 20421; 20421; 20421; 20421; 20421; 20421; 20421; 20421; 20421; 20413; 20413; 20413; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20409; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20397; 20368; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 20356; 
56398; 44709; 41850; 39287; 37640; 36545; 36053; 35721; 35053; 34652; 34193; 33664; 33402; 33116; 32917; 32558; 32436; 32372; 32308; 32198; 32144; 32046; 31982; 31903; 31799; 31767; 31761; 31673; 31603; 31579; 31540; 31460; 31410; 31378; 31361; 31361; 31361; 31335; 31313; 31311; 31281; 31253; 31211; 31206; 31195; 31185; 31185; 31182; 31129; 31121; 31121; 31121; 31121; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 31120; 
53980; 41122; 36373; 34264; 32782; 32332; 31445; 31253; 30979; 30728; 30249; 30068; 29880; 29817; 29683; 29590; 29552; 29523; 29223; 29160; 29067; 28837; 28751; 28716; 28690; 28663; 28645; 28601; 28596; 28546; 28530; 28477; 28470; 28467; 28451; 28450; 28434; 28367; 28347; 28328; 28277; 28265; 28235; 28231; 28231; 28227; 28227; 28227; 28223; 28223; 28223; 28223; 28223; 28223; 28223; 28223; 28223; 28223; 28223; 28223; 28216; 28168; 28154; 28146; 28146; 28146; 28146; 28141; 28137; 28135; 28135; 28132; 28132; 28132; 28132; 28126; 28126; 28126; 28126; 28126; 28126; 28126; 28126; 28126; 28126; 28126; 28126; 28126; 28126; 28126; 28126; 28126; 28126; 28126; 28126; 28126; 28126; 28126; 28126; 28126; 28126; 28126; 28126; 28126; 28126; 28126; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28116; 28114; 28114; 28107; 28107; 28107; 28107; 28107; 28107; 28107; 28107; 28107; 28107; 28107; 28107; 28107; 28107; 28107; 28107; 28107; 28107; 28107; 28107; 28107; 28107; 28107; 28107; 28097; 28029; 27938; 27912; 27912; 27912; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 27909; 
50265; 39455; 36089; 33960; 33369; 32873; 32637; 32136; 31616; 31090; 30840; 30486; 30275; 30039; 29973; 29799; 29745; 29681; 29612; 29550; 29505; 29474; 29424; 29394; 29360; 29292; 29244; 29199; 29185; 29155; 29136; 29123; 29109; 29087; 29080; 29045; 29043; 29025; 29007; 28991; 28984; 28969; 28964; 28935; 28929; 28923; 28909; 28835; 28817; 28815; 28810; 28796; 28789; 28789; 28789; 28786; 28786; 28786; 28786; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28784; 28783; 28766; 28766; 28756; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 28686; 
