0; 29672; 28414; 37314; 29862; 29182; 32983; 21570; 28488; 29993; 28895; 25187; 29103; 28277; 30575; 27007; 29939; 32427; 34718; 26350; 27851; 
100; 29019; 28494; 37527; 29545; 29801; 34247; 21817; 30562; 29242; 29206; 26007; 30569; 27384; 30205; 26591; 29346; 32248; 33900; 25170; 29761; 
200; 31923; 30020; 38516; 28587; 30031; 33614; 22535; 31482; 29836; 30106; 25565; 29543; 28375; 30228; 26396; 28505; 32552; 33687; 26520; 28965; 
300; 30027; 28906; 38212; 29156; 30383; 34068; 21842; 31199; 29716; 29137; 26647; 29987; 30476; 30165; 27699; 29279; 31923; 34713; 25843; 30489; 
400; 29632; 29986; 38099; 31441; 31142; 35518; 22847; 30846; 29950; 30119; 25711; 30276; 28230; 30898; 28212; 29426; 31439; 35618; 27067; 30813; 
500; 30954; 28970; 38873; 32103; 31517; 35006; 22049; 32541; 29881; 29472; 27388; 31242; 30824; 32091; 27974; 35984; 33622; 34736; 26600; 30031; 
600; 30062; 30876; 38740; 31463; 30526; 36555; 23168; 30890; 30400; 30302; 27317; 30146; 32221; 30548; 28152; 31487; 31862; 35080; 26544; 31688; 
700; 30708; 31167; 39147; 32630; 31149; 35384; 23589; 31702; 31200; 31404; 27229; 30911; 30522; 31302; 28019; 30930; 32239; 37035; 27190; 29620; 
800; 30814; 31452; 39605; 31064; 31360; 37439; 23637; 32288; 31523; 30725; 27177; 29968; 30022; 31306; 28372; 31179; 33939; 34997; 26798; 30607; 
900; 31936; 31272; 39666; 31744; 31454; 37269; 23880; 33175; 30840; 31035; 26696; 30383; 29713; 31395; 28240; 32921; 34691; 36227; 28701; 31021; 
1000; 32195; 31434; 40405; 31219; 33122; 38706; 22878; 32320; 30775; 31440; 28294; 33214; 32348; 32834; 28827; 31604; 33924; 36643; 27380; 30720; 
