5; 28774; 28959; 36003; 28144; 30508; 32368; 21246; 30892; 29031; 28332; 25352; 29295; 27919; 28606; 26599; 29249; 32482; 33714; 25061; 27058; 
10; 28131; 27278; 36912; 29593; 29104; 32801; 20355; 30268; 29653; 28768; 25023; 29775; 27832; 28609; 25630; 28002; 30687; 35342; 25408; 28932; 
15; 27605; 28389; 36223; 28985; 29131; 32188; 21935; 30665; 28197; 29385; 24603; 29631; 27820; 28538; 27319; 28228; 31749; 34245; 25298; 27499; 
20; 30487; 29008; 36609; 29668; 30028; 34063; 22033; 29698; 30931; 28304; 24772; 30060; 29373; 27434; 26529; 27853; 30664; 34162; 25683; 29612; 
25; 27711; 32007; 36320; 30099; 30075; 33639; 21242; 30651; 29945; 29389; 24824; 28048; 27090; 27902; 25777; 28455; 33160; 35059; 24615; 28103; 
30; 27849; 27577; 36809; 29639; 28459; 34176; 20371; 33044; 30683; 28537; 25214; 28356; 29196; 29732; 25660; 29047; 32322; 36984; 27237; 27334; 
35; 27222; 29313; 37379; 27855; 29417; 33341; 21580; 30456; 29325; 29515; 26522; 26819; 27474; 29000; 27559; 27503; 32559; 34834; 24871; 29026; 
40; 27729; 27644; 37363; 30412; 29377; 32795; 21538; 31614; 29787; 28052; 25057; 27027; 28255; 28106; 25820; 28227; 32258; 38570; 25241; 29713; 
45; 27927; 28511; 37169; 28698; 30595; 33728; 20632; 30289; 29087; 27593; 24884; 27830; 27813; 27899; 26294; 26573; 33018; 34027; 25586; 29435; 
