0; 27433; 27643; 37624; 29819; 29176; 33980; 21125; 30564; 29176; 28209; 24720; 29294; 27411; 28260; 25930; 28419; 32816; 33400; 25043; 27632; 
100; 29561; 32718; 37180; 28131; 30954; 34366; 21023; 32005; 29489; 28423; 25060; 29304; 27901; 27845; 26627; 27960; 30996; 36576; 26305; 27592; 
200; 32101; 28950; 36699; 30597; 28934; 35107; 21683; 30405; 28859; 27699; 24884; 29743; 27453; 28606; 26274; 27183; 31790; 33127; 25174; 28571; 
300; 27681; 30033; 36270; 29532; 30028; 32732; 21044; 32565; 29601; 28439; 24553; 27118; 26683; 29218; 25141; 27153; 32989; 33870; 25286; 28212; 
400; 27871; 30077; 36714; 30369; 31197; 31884; 20897; 31136; 28093; 27542; 25243; 28112; 27600; 28365; 26634; 28615; 32549; 35642; 25253; 29140; 
500; 28632; 28925; 38000; 30193; 31067; 32645; 20958; 31039; 28138; 29087; 24715; 27654; 27446; 27613; 26164; 30300; 31876; 35299; 24818; 27280; 
600; 27440; 27789; 36704; 29539; 30686; 32071; 21160; 31012; 28408; 28432; 24611; 31020; 27390; 28841; 25833; 27832; 31706; 35561; 24890; 27482; 
700; 28179; 30934; 35433; 30231; 29719; 32141; 23210; 29283; 28874; 29094; 25162; 30467; 27279; 28672; 25617; 29940; 32961; 35793; 24632; 27516; 
800; 30245; 29220; 36639; 29292; 29771; 32398; 21781; 30074; 27933; 28533; 24557; 27435; 26825; 27777; 26469; 27199; 32741; 34778; 25454; 28253; 
900; 27687; 28235; 38014; 32000; 28842; 31841; 20896; 30756; 27144; 28393; 25631; 28108; 26899; 28517; 26506; 28750; 30213; 35695; 25020; 29141; 
1000; 28479; 27584; 37172; 31234; 29482; 34474; 21680; 30918; 28664; 27886; 24301; 26985; 29977; 28513; 25417; 29177; 31174; 34785; 24925; 26970; 
