0.0; 46888; 53165; 59854; 47557; 49224; 55112; 36037; 52038; 50359; 45524; 41869; 51545; 46000; 47553; 41611; 50499; 50606; 57317; 40117; 48714; 
0.1; 27916; 27231; 36244; 30584; 29359; 33036; 23041; 29736; 28419; 28130; 24663; 29288; 27363; 29201; 26490; 29089; 30990; 35971; 24455; 27029; 
0.2; 28427; 28910; 36085; 30514; 30404; 32272; 20266; 30632; 29897; 28494; 25082; 28482; 29512; 28236; 26760; 27503; 32850; 33927; 26205; 27267; 
0.3; 27824; 28036; 37598; 30559; 29620; 31206; 21387; 29031; 29471; 28521; 24296; 30557; 26726; 28030; 25178; 28933; 32822; 34324; 25613; 30001; 
0.4; 28011; 30159; 36516; 28952; 28182; 32576; 21094; 28540; 28226; 28280; 24426; 28293; 27160; 27911; 26105; 26960; 31718; 34781; 24660; 27738; 
0.5; 29412; 30174; 36040; 29128; 28737; 31523; 20613; 30915; 27371; 27434; 24039; 28772; 27370; 27179; 26763; 29029; 31503; 35249; 25452; 27348; 
0.6; 26694; 28208; 35082; 29932; 30933; 31900; 20401; 28367; 27742; 28201; 25814; 26361; 27790; 27645; 25656; 28958; 31879; 33924; 25038; 27763; 
0.7; 26649; 27194; 36620; 28416; 30080; 31197; 21546; 30744; 28867; 26850; 24647; 26609; 27477; 27453; 26271; 26885; 29976; 32187; 24365; 26989; 
0.8; 27674; 28798; 36341; 28316; 29118; 31055; 20255; 28467; 28175; 26832; 24167; 27155; 26720; 28325; 25666; 27659; 31028; 31781; 24541; 27309; 
0.9; 29935; 27766; 35829; 27748; 28781; 32455; 20271; 29057; 28327; 26570; 25653; 28885; 27254; 27711; 26097; 28470; 31109; 33190; 24058; 26686; 
1.0; 30462; 27016; 35606; 28576; 29535; 31236; 19995; 29712; 27249; 27490; 24349; 27755; 26273; 28507; 25305; 27452; 29859; 32535; 24051; 27570; 
1.1; 27719; 28420; 37745; 30331; 29893; 34112; 21774; 30879; 29024; 28796; 25498; 27619; 28243; 28835; 26457; 28538; 31977; 35504; 25457; 28051; 
1.2; 27819; 27937; 36102; 29673; 29849; 32529; 22321; 29333; 29014; 28405; 24641; 28917; 27205; 28485; 26215; 27963; 31473; 35330; 26942; 27647; 
1.3; 32475; 28631; 37897; 28561; 30130; 33389; 21328; 30180; 29447; 28539; 24651; 28374; 27302; 28447; 26168; 27351; 30731; 33096; 25532; 27534; 
1.4; 27623; 29308; 38148; 30701; 30123; 31454; 22140; 30412; 28883; 29394; 25330; 30194; 30173; 28362; 25604; 28504; 30647; 35944; 26000; 27373; 
1.5; 27994; 29618; 37032; 29137; 30739; 32122; 23387; 29458; 30485; 28397; 25343; 27610; 26956; 29136; 27226; 30032; 31436; 34921; 25666; 27998; 
