0; 29269; 28017; 35887; 29160; 29213; 32967; 21524; 29340; 29374; 28744; 24213; 30031; 28121; 28557; 26779; 27831; 32346; 35099; 25688; 27756; 
100; 29183; 28880; 35889; 29362; 29972; 35243; 23094; 29060; 29605; 29452; 25158; 28172; 27558; 28396; 27016; 26986; 30898; 34346; 24669; 28211; 
200; 30211; 27571; 38818; 30314; 30240; 32581; 23353; 31372; 29176; 27616; 24954; 27369; 27279; 28800; 27431; 27769; 31059; 33887; 25570; 27944; 
300; 28342; 29745; 36494; 28189; 30186; 32103; 21176; 29087; 29062; 27221; 24425; 30311; 27139; 27954; 27497; 28234; 31143; 33638; 24836; 29412; 
400; 29120; 29135; 36923; 28499; 30500; 31242; 22598; 30274; 28872; 28716; 24495; 28337; 27879; 29329; 27167; 28774; 30847; 34369; 24498; 27762; 
500; 28171; 28630; 36440; 30223; 30080; 33375; 22827; 28049; 29176; 27684; 24016; 28128; 27108; 29291; 26517; 26935; 32099; 34970; 25163; 28114; 
600; 28408; 28178; 36138; 28685; 28966; 32709; 21367; 28799; 30236; 28975; 24577; 27909; 26814; 28270; 25825; 28589; 32188; 32748; 25052; 26802; 
700; 27332; 30734; 38058; 31292; 30166; 32871; 20987; 30716; 28371; 27771; 24443; 29845; 27154; 28346; 25851; 28739; 30923; 33596; 25184; 28130; 
800; 28928; 29009; 36799; 28951; 29070; 34138; 22594; 30851; 27746; 28487; 24209; 29542; 28197; 28921; 26652; 28381; 29916; 36697; 24261; 27896; 
900; 26589; 27622; 36033; 28777; 30907; 34183; 21464; 30263; 29461; 27977; 25155; 27171; 27705; 29243; 26404; 27512; 32057; 34201; 25579; 27722; 
1000; 28467; 28768; 35876; 28675; 30013; 32632; 22711; 29147; 27858; 27675; 24793; 28356; 27242; 28481; 26822; 28735; 32610; 35003; 25533; 26992; 
