5; 27829; 29233; 36818; 29133; 29490; 32390; 20347; 31371; 27797; 28085; 24708; 28192; 27486; 28076; 25926; 27711; 30293; 33710; 25425; 28341; 
10; 29192; 29684; 36842; 29537; 29374; 32782; 21549; 29156; 28509; 28882; 24731; 28970; 26739; 28060; 26875; 28122; 31860; 33844; 25070; 28604; 
15; 28220; 28390; 36403; 30050; 29607; 34172; 20898; 30800; 30532; 28243; 25079; 29845; 27182; 29289; 26747; 29648; 30579; 34139; 26082; 28078; 
20; 28071; 28644; 37165; 28543; 29311; 33123; 21465; 29960; 28689; 27237; 25552; 27598; 27105; 29305; 26605; 28040; 31750; 33452; 25113; 27740; 
25; 28032; 28203; 36603; 29191; 29594; 32668; 23524; 31036; 29814; 27995; 25260; 30015; 27045; 27927; 27136; 29122; 32841; 35257; 25511; 31092; 
30; 29890; 28717; 36658; 29022; 28526; 33666; 20741; 31312; 29927; 29247; 24539; 29232; 27666; 29030; 27599; 29051; 31886; 36385; 25386; 28496; 
35; 26361; 28372; 36237; 28843; 29280; 32731; 24002; 29804; 29413; 27477; 25679; 28511; 27733; 28938; 26372; 29190; 33381; 35130; 25029; 29068; 
40; 27847; 27206; 37048; 30354; 29490; 33208; 21425; 30671; 29891; 28794; 24838; 29312; 28146; 28329; 26083; 27578; 32419; 35329; 24963; 28357; 
45; 27378; 27220; 36700; 29616; 30581; 31925; 20498; 29012; 30419; 27950; 24580; 28908; 27090; 28780; 26481; 28106; 31064; 34233; 24499; 29363; 
